host,ip,port,country,org
https://43.164.134.161:8888,43.164.134.161,8888,SG,"Tencent Building, Kejizhongyi Avenue"
https://52.221.202.96:10002,52.221.202.96,10002,SG,AMAZON-02
https://8.222.213.109:45678,8.222.213.109,45678,SG,"Alibaba US Technology Co., Ltd."
https://43.163.120.49:4000,43.163.120.49,4000,SG,"Tencent Building, Kejizhongyi Avenue"
https://168.138.172.212:9999,168.138.172.212,9999,SG,ORACLE-BMC-31898
https://150.109.14.158:10004,150.109.14.158,10004,SG,"Tencent Building, Kejizhongyi Avenue"
https://8.219.7.136:2025,8.219.7.136,2025,SG,"Alibaba US Technology Co., Ltd."
https://139.162.44.33:10003,139.162.44.33,10003,SG,Akamai Connected Cloud
https://103.195.191.169:20155,103.195.191.169,20155,SG,Dromatics Systems Pte Ltd
https://43.156.67.197:28443,43.156.67.197,28443,SG,"Tencent Building, Kejizhongyi Avenue"
https://213.35.123.46:9999,213.35.123.46,9999,SG,ORACLE-BMC-31898
https://52.163.219.16:666,52.163.219.16,666,SG,MICROSOFT-CORP-MSN-AS-BLOCK
https://143.198.194.218:10110,143.198.194.218,10110,SG,DIGITALOCEAN-ASN
https://103.192.178.50:33438,103.192.178.50,33438,SG,LANDUPS LIMITED
https://xjp.kobeobf.xyz:20161,8.222.231.45,20161,SG,"Alibaba US Technology Co., Ltd."
https://129.226.84.159:5566,129.226.84.159,5566,SG,"Tencent Building, Kejizhongyi Avenue"
https://103.214.23.221:18886,103.214.23.221,18886,SG,HOSTHATCH
https://210.16.122.152:8001,210.16.122.152,8001,SG,Liberally Network LLC
https://194.15.115.25:8442,194.15.115.25,8442,SG,EN Technologies Pte Ltd
https://43.134.231.249:15555,43.134.231.249,15555,SG,"Tencent Building, Kejizhongyi Avenue"
https://139.180.130.239:30110,139.180.130.239,30110,SG,AS-VULTR
https://166.108.194.44:6064,166.108.194.44,6064,SG,HUAWEI CLOUDS
https://38.54.17.46:2974,38.54.17.46,2974,SG,Kaopu Cloud HK Limited
124.243.169.189:8181,124.243.169.189,8181,SG,HUAWEI CLOUDS
https://143.198.194.218:10107,143.198.194.218,10107,SG,DIGITALOCEAN-ASN
https://8.222.231.45:20161,8.222.231.45,20161,SG,"Alibaba US Technology Co., Ltd."
